Repayments,

Property:, 650000 

Change in property Value:, 4% 


Amortisation
Month, Date, Equity, Property Value, LVR
1,2025-08-16,-150000.00,650000.00,123%,
2,2025-09-16,-146841.45,652166.67,123%,
3,2025-10-16,-143670.71,654340.56,122%,
4,2025-11-16,-140487.76,656521.69,121%,
5,2025-12-16,-137292.51,658710.10,121%,
6,2026-01-16,-134084.94,660905.80,120%,
7,2026-02-16,-130864.99,663108.82,120%,
8,2026-03-16,-127632.62,665319.18,119%,
9,2026-04-16,-124387.77,667536.91,119%,
10,2026-05-16,-121130.39,669762.03,118%,
11,2026-06-16,-117860.43,671994.57,118%,
12,2026-07-16,-114577.84,674234.55,117%,
13,2026-08-16,-111282.57,676482.00,116%,
14,2026-09-16,-107974.57,678736.94,116%,
15,2026-10-16,-104653.78,680999.40,115%,
16,2026-11-16,-101320.17,683269.40,115%,
17,2026-12-16,-97973.67,685546.96,114%,
18,2027-01-16,-94614.23,687832.12,114%,
19,2027-02-16,-91241.81,690124.89,113%,
20,2027-03-16,-87856.34,692425.31,113%,
21,2027-04-16,-84457.79,694733.39,112%,
22,2027-05-16,-81046.08,697049.17,112%,
23,2027-06-16,-77621.17,699372.67,111%,
24,2027-07-16,-74183.02,701703.91,111%,
25,2027-08-16,-70731.56,704042.92,110%,
26,2027-09-16,-67266.74,706389.73,110%,
27,2027-10-16,-63788.50,708744.37,109%,
28,2027-11-16,-60296.80,711106.85,108%,
29,2027-12-16,-56791.59,713477.20,108%,
30,2028-01-16,-53272.79,715855.46,107%,
31,2028-02-16,-49740.36,718241.65,107%,
32,2028-03-16,-46194.25,720635.78,106%,
33,2028-04-16,-42634.40,723037.90,106%,
34,2028-05-16,-39060.75,725448.03,105%,
35,2028-06-16,-35473.25,727866.19,105%,
36,2028-07-16,-31871.84,730292.41,104%,
37,2028-08-16,-28256.47,732726.72,104%,
38,2028-09-16,-24627.09,735169.14,103%,
39,2028-10-16,-20983.62,737619.70,103%,
40,2028-11-16,-17326.02,740078.44,102%,
41,2028-12-16,-13654.23,742545.37,102%,
42,2029-01-16,-9968.19,745020.52,101%,
43,2029-02-16,-6267.85,747503.92,101%,
44,2029-03-16,-2553.15,749995.60,100%,
